num_of_threads, time
3, 0.082707
4, 0.049259
5, 0.090055
6, 0.088438
7, 0.101983
8, 0.121238
9, 0.106186
10, 0.113582
11, 0.141891
12, 0.139381
13, 0.118537
14, 0.137031
15, 0.130629
16, 0.136610
17, 0.170042
18, 0.319868
19, 0.197155
20, 0.251440
21, 0.318437
22, 0.338594
23, 0.357410
24, 0.363049
25, 0.406911
26, 0.306610
27, 0.428693
28, 0.416568
29, 0.457372
30, 0.471492
31, 0.485140
32, 0.477698
33, 0.519257
34, 0.521154
35, 0.504825
36, 0.542257
37, 0.565892
38, 0.570040
39, 0.607012
40, 0.617974
41, 0.663893
42, 0.620983
43, 0.654371
44, 0.647139
45, 0.706475
46, 0.708690
47, 0.701684
48, 0.744667
49, 0.666966
50, 0.737957
51, 0.852194
52, 0.764684
53, 0.752016
54, 0.866105
55, 0.764983
56, 0.919897
57, 0.933260
58, 0.924288
59, 0.799078
60, 0.898021
61, 0.937466
62, 0.938512
63, 1.018680
64, 0.992436
65, 0.949165
66, 1.020590
67, 1.058088
68, 1.049859
69, 1.080693
70, 0.987612
71, 1.104963
72, 1.139548
73, 1.148817
74, 1.019265
75, 1.063845
76, 1.176238
77, 1.146155
78, 1.182047
79, 1.217289
80, 1.236224
81, 1.245756
82, 1.219232
83, 1.320436
84, 1.287381
85, 0.925164
86, 1.361339
87, 1.220293
88, 1.352831
89, 1.366273
90, 1.031675
91, 1.411003
92, 1.434205
93, 1.501918
94, 1.516710
95, 1.493757
96, 1.514505
97, 1.478007
98, 1.551408
99, 1.533008